meal_id,name,prep_time_mins,ingredient_count,spice_level,is_veg,budget_tier,main_ingredients
M001,Aloo Jeera,15,4,2,1,1,"Potato, Cumin, Turmeric, Green Chili"
M002,Dal Tadka,25,7,2,1,1,"Yellow Lentils, Garlic, Cumin, Tomato, Onion"
M003,Paneer Bhurji,20,7,2,1,2,"Paneer, Onion, Tomato, Capsicum, Ginger"
M004,Chole Masala,35,8,3,1,2,"Chickpeas, Onion, Tomato, Chole Masala, Tea bag"
M005,Rajma Chawal,40,8,2,1,2,"Kidney Beans, Onion, Tomato, Ginger, Garlic"
M006,Aloo Matar,25,6,2,1,1,"Potato, Peas, Tomato, Turmeric, Cumin"
M007,Masala Maggi,10,5,3,1,1,"Maggi, Onion, Tomato, Peas, Maggi Masala"
M008,Soya Chunks Fry,20,6,3,1,1,"Soya Chunks, Onion, Chili Powder, Curry Leaves"
M009,Bhindi Masala,25,5,2,1,1,"Okra, Onion, Amchur, Cumin, Turmeric"
M010,Aloo Paratha,30,6,2,1,1,"Flour, Potato, Green Chili, Ajwain, Coriander"
M011,Kadai Paneer,30,9,3,1,3,"Paneer, Capsicum, Onion, Tomato, Kadai Masala"
M012,Tawa Pulao,20,7,3,1,1,"Rice, Pav Bhaji Masala, Peas, Carrot, Onion"
M013,Baingan Bharta,35,6,2,1,1,"Eggplant, Onion, Tomato, Garlic, Green Chili"
M014,Masoor Dal,20,5,1,1,1,"Red Lentils, Garlic, Chili, Mustard Seeds, Tomato"
M015,Gobi Matar,25,6,2,1,1,"Cauliflower, Peas, Turmeric, Cumin, Ginger"
M016,Bread Poha,15,7,2,1,1,"Bread, Peanuts, Mustard Seeds, Onion, Curry Leaves"
M017,Kadhi Pakora,45,10,2,1,2,"Besan, Yogurt, Fenugreek Seeds, Chili, Onion"
M018,Mixed Veg Fry,30,8,2,1,2,"Potato, Beans, Carrot, Cauliflower, Paneer"
M019,Black Chana Fry,25,6,3,1,1,"Black Chickpeas, Onion, Ginger, Chili, Lemon"
M020,Jeera Rice,20,3,1,1,1,"Rice, Cumin, Ghee"
M021,Poha,15,6,2,1,1,"Flattened Rice, Onion, Peanuts, Turmeric, Curry Leaves"
M022,Upma,15,5,2,1,1,"Semolina, Onion, Curry Leaves, Mustard Seeds, Chana Dal"
M023,Curd Rice,10,4,1,1,1,"Rice, Curd, Mustard Seeds, Curry Leaves"
M024,Lemon Rice,15,6,2,1,1,"Rice, Lemon, Peanuts, Turmeric, Mustard Seeds, Curry Leaves"
M025,Tomato Rice,20,6,2,1,1,"Rice, Tomato, Onion, Garlic, Garam Masala"
M026,Paneer Butter Masala,40,9,2,1,3,"Paneer, Tomato, Butter, Cashew, Cream"
M027,Palak Paneer,40,8,2,1,3,"Paneer, Spinach, Garlic, Cream, Garam Masala"
M028,Matar Paneer,35,8,2,1,3,"Paneer, Peas, Tomato, Onion, Garam Masala"
M029,Dal Makhani,60,8,2,1,2,"Black Lentils, Kidney Beans, Butter, Cream, Tomato"
